,0,1
0,882.0,159.0
1,869.0,107.0
2,839.0,32.0
3,825.0,9.0
4,785.0,-78.0
5,773.0,-24.0
6,740.0,-52.0
7,718.0,-30.0
8,708.0,-9.0
9,703.0,-5.0
10,701.0,-2.0
11,699.0,0.0
12,697.0,0.0
13,695.0,0.0
14,694.0,1.0
15,691.0,7.0
16,687.0,18.0
17,684.0,30.0
18,682.0,40.0
19,681.0,49.0
20,678.0,61.0
21,673.0,80.0
22,669.0,100.0
23,668.0,116.0
24,664.0,132.0
25,664.0,154.0
26,665.0,182.0
27,667.0,200.0
28,670.0,216.0
29,674.0,241.0
30,679.0,265.0
31,683.0,282.0
32,688.0,300.0
33,693.0,323.0
34,699.0,347.0
35,702.0,365.0
36,708.0,382.0
37,713.0,422.0
38,716.0,445.0
39,716.0,467.0
40,716.0,500.0
41,713.0,538.0
42,709.0,553.0
43,705.0,569.0
44,698.0,588.0
45,690.0,602.0
46,679.0,610.0
47,648.0,622.0
48,625.0,626.0
49,602.0,623.0
50,551.0,613.0
51,518.0,604.0
52,473.0,589.0
53,396.0,568.0
54,373.0,565.0
55,298.0,556.0
56,269.0,556.0
57,184.0,556.0
58,127.0,556.0
59,41.0,561.0
60,-27.0,572.0
61,-67.0,581.0
62,-43.0,588.0
63,-27.0,592.0
64,-4.0,593.0
65,-2.0,593.0
66,0.0,592.0
67,17.0,550.0
68,25.0,558.0
69,31.0,567.0
70,36.0,574.0
71,40.0,579.0
72,44.0,583.0
73,48.0,588.0
74,50.0,593.0
75,53.0,598.0
76,55.0,605.0
77,58.0,613.0
78,61.0,624.0
79,63.0,632.0
80,64.0,641.0
81,67.0,651.0
82,69.0,665.0
83,70.0,678.0
84,70.0,688.0
85,70.0,691.0
86,70.0,694.0
87,70.0,695.0
88,70.0,696.0
89,69.0,696.0
90,69.0,697.0
91,69.0,697.0
92,68.0,697.0
93,67.0,698.0
94,66.0,699.0
95,65.0,699.0
96,64.0,699.0
97,64.0,699.0
98,72.0,690.0
99,76.0,683.0
100,94.0,669.0
101,127.0,646.0
102,144.0,632.0
103,170.0,610.0
104,200.0,584.0
105,237.0,560.0
106,254.0,548.0
107,276.0,535.0
108,293.0,523.0
109,310.0,515.0
110,327.0,503.0
111,346.0,493.0
